server_time_local,server_time_utc,client_ts,device,sensors.gps.lat,sensors.gps.lon,sensors.gps.alt_m,sensors.gps.sat,sensors.gps.hdop,sensors.dht22.temp_c,sensors.dht22.hum_pct,sensors.bmp280.temp_c,sensors.bmp280.press_hpa,sensors.bmp280.alt_m,sensors.bh1750.lux,sensors.hs_s20b.adc_raw,sensors.hs_s20b.ratio,sensors.mh_z19e.co2_ppm
2025-09-03T23:06:51+05:30,2025-09-03T17:36:51+00:00,1970-01-01T00:00:00+00:00,esp32-env1,28.544485,77.333141,207,12,1.1,23.89999962,99.90000153,24.77000046,983.6759644,249.1860199,625,3300,0.805860817,453
2025-09-03T23:06:57+05:30,2025-09-03T17:36:57+00:00,1970-01-01T00:00:00+00:00,esp32-env1,28.544485,77.333141,215,10,0.9,24,99.90000153,24.82999992,983.7282104,248.7405243,618.333313,3085,0.753357768,437
2025-09-03T23:07:00+05:30,2025-09-03T17:37:00+00:00,2025-09-03T23:07:02+05:30,esp32-env1,28.544485,77.333141,209,12,1,24,99.90000153,24.85000038,983.734436,248.6874847,614.166626,4095,1,444
2025-09-03T23:07:02+05:30,2025-09-03T17:37:02+00:00,2025-09-03T23:07:04+05:30,esp32-env1,28.544485,77.333141,206,9,1,24,99.90000153,24.84000015,983.7267456,248.7528839,613.333313,3271,0.798779011,487
2025-09-03T23:07:07+05:30,2025-09-03T17:37:07+00:00,2025-09-03T23:07:09+05:30,esp32-env1,28.544485,77.333141,214,7,0.9,24.10000038,99.90000153,24.85000038,983.729248,248.7467041,615,3399,0.83003664,487
2025-09-03T23:07:12+05:30,2025-09-03T17:37:12+00:00,2025-09-03T23:07:14+05:30,esp32-env1,28.544485,77.333141,207,12,1.5,24.10000038,99.90000153,24.86000061,983.7112427,248.8852539,621.666626,3417,0.834432244,443
2025-09-03T23:07:17+05:30,2025-09-03T17:37:17+00:00,2025-09-03T23:07:19+05:30,esp32-env1,28.544485,77.333141,207,9,0.9,24.20000076,99.90000153,24.86000061,983.7335815,248.6947021,617.5,3309,0.808058619,430
2025-09-03T23:07:22+05:30,2025-09-03T17:37:22+00:00,2025-09-03T23:07:24+05:30,esp32-env1,28.544485,77.333141,212,7,1.4,24.20000076,99.90000153,24.84000015,983.7200928,248.8095398,617.5,3331,0.813431025,469
2025-09-03T23:07:27+05:30,2025-09-03T17:37:27+00:00,2025-09-03T23:07:29+05:30,esp32-env1,28.544485,77.333141,213,10,0.9,24.20000076,99.90000153,24.86000061,983.7265625,248.7544403,621.666626,3045,0.743589759,436
2025-09-03T23:07:32+05:30,2025-09-03T17:37:32+00:00,2025-09-03T23:07:34+05:30,esp32-env1,28.544485,77.333141,211,8,1,24.20000076,99.90000153,24.84000015,983.7081299,248.9115143,621.666626,3487,0.85152626,458
2025-09-03T23:07:37+05:30,2025-09-03T17:37:37+00:00,2025-09-03T23:07:39+05:30,esp32-env1,28.544485,77.333141,207,7,1.3,24.20000076,99.90000153,24.87000084,983.7190552,248.8182983,615,3463,0.845665455,460
2025-09-03T23:14:18+05:30,2025-09-03T17:44:18+00:00,2025-09-03T23:14:18+05:30,esp32-env1,28.544485,77.333141,205,7,1.3,24.5,99.90000153,24.75,983.6965332,249.0103912,617.5,1505,0.367521375,430
2025-09-03T23:14:23+05:30,2025-09-03T17:44:23+00:00,2025-09-03T23:14:23+05:30,esp32-env1,28.544485,77.333141,209,10,1.4,24.39999962,99.90000153,24.72999954,983.6835327,249.1211243,624.166626,2910,0.710622728,495
2025-09-03T23:14:25+05:30,2025-09-03T17:44:25+00:00,2025-09-03T23:14:28+05:30,esp32-env1,28.544485,77.333141,208,12,1.5,24.5,99.90000153,24.71999931,983.697876,248.9990692,621.666626,3019,0.737240553,490
2025-09-03T23:14:31+05:30,2025-09-03T17:44:31+00:00,2025-09-03T23:14:33+05:30,esp32-env1,28.544485,77.333141,209,12,1.3,24.5,99.90000153,24.70000076,983.6928101,249.0423279,619.166626,2992,0.730647147,425
2025-09-03T23:14:35+05:30,2025-09-03T17:44:35+00:00,2025-09-03T23:14:38+05:30,esp32-env1,28.544485,77.333141,208,9,1,24.39999962,99.90000153,24.70000076,983.6929932,249.0407867,620,3071,0.749938965,435
2025-09-03T23:14:40+05:30,2025-09-03T17:44:40+00:00,2025-09-03T23:14:43+05:30,esp32-env1,28.544485,77.333141,215,10,1.5,24.39999962,99.90000153,24.69000053,983.687439,249.0881653,625.833313,3024,0.738461554,516
2025-09-03T23:14:46+05:30,2025-09-03T17:44:46+00:00,2025-09-03T23:14:48+05:30,esp32-env1,28.544485,77.333141,206,10,1.5,24.39999962,99.90000153,24.70999908,983.6953125,249.0207062,618.333313,3166,0.773137987,519
2025-09-03T23:14:51+05:30,2025-09-03T17:44:51+00:00,2025-09-03T23:14:53+05:30,esp32-env1,28.544485,77.333141,212,10,1.5,24.39999962,99.90000153,24.69000053,983.680603,249.1463623,619.166626,3018,0.736996353,447
2025-09-03T23:14:55+05:30,2025-09-03T17:44:55+00:00,2025-09-03T23:14:58+05:30,esp32-env1,28.544485,77.333141,213,7,0.8,24.39999962,99.90000153,24.68000031,983.6986084,248.9928894,613.333313,3267,0.79780221,517
2025-09-03T23:15:01+05:30,2025-09-03T17:45:01+00:00,2025-09-03T23:15:03+05:30,esp32-env1,28.544485,77.333141,206,12,1.5,24.39999962,99.90000153,24.68000031,983.6900635,249.065506,626.666626,3377,0.824664235,515
2025-09-03T23:15:05+05:30,2025-09-03T17:45:05+00:00,2025-09-03T23:15:08+05:30,esp32-env1,28.544485,77.333141,210,8,0.9,24.39999962,99.90000153,24.68000031,983.7020264,248.9635315,614.166626,3534,0.863003671,473
2025-09-03T23:15:14+05:30,2025-09-03T17:45:14+00:00,2025-09-03T23:15:13+05:30,esp32-env1,28.544485,77.333141,205,7,1.1,24.39999962,99.90000153,24.70000076,983.694519,249.0273895,619.166626,4095,1,485
2025-09-03T23:15:15+05:30,2025-09-03T17:45:15+00:00,2025-09-03T23:15:18+05:30,esp32-env1,28.544485,77.333141,208,7,0.8,24.39999962,99.90000153,24.69000053,983.7043457,248.9439545,620.833313,3435,0.838827848,457
2025-09-03T23:15:20+05:30,2025-09-03T17:45:20+00:00,2025-09-03T23:15:23+05:30,esp32-env1,28.544485,77.333141,213,8,1.4,24.39999962,99.90000153,24.67000008,983.7084351,248.9089355,623.333313,3327,0.812454224,429
